date,description,count,Macrobond_Code
2019-05-10,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),176379,CAFSTA@TRANSPRT
2019-05-13,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147354,CA8STA@TRANSPRT
2019-05-13,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),163923,CAFSTA@TRANSPRT
2019-05-14,Canada: Airport Passengers Screened: Eight Largest Airports (Number),135943,CA8STA@TRANSPRT
2019-05-14,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),151464,CAFSTA@TRANSPRT
2019-05-15,Canada: Airport Passengers Screened: Eight Largest Airports (Number),149383,CA8STA@TRANSPRT
2019-05-15,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),166343,CAFSTA@TRANSPRT
2019-05-16,Canada: Airport Passengers Screened: Eight Largest Airports (Number),160012,CA8STA@TRANSPRT
2019-05-16,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),178746,CAFSTA@TRANSPRT
2019-05-17,Canada: Airport Passengers Screened: Eight Largest Airports (Number),173541,CA8STA@TRANSPRT
2019-05-17,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),193139,CAFSTA@TRANSPRT
2019-05-20,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147098,CA8STA@TRANSPRT
2019-05-20,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),164778,CAFSTA@TRANSPRT
2019-05-21,Canada: Airport Passengers Screened: Eight Largest Airports (Number),136984,CA8STA@TRANSPRT
2019-05-21,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),154624,CAFSTA@TRANSPRT
2019-05-22,Canada: Airport Passengers Screened: Eight Largest Airports (Number),138819,CA8STA@TRANSPRT
2019-05-22,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),154759,CAFSTA@TRANSPRT
2019-05-23,Canada: Airport Passengers Screened: Eight Largest Airports (Number),146329,CA8STA@TRANSPRT
2019-05-23,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),163850,CAFSTA@TRANSPRT
2019-05-24,Canada: Airport Passengers Screened: Eight Largest Airports (Number),156085,CA8STA@TRANSPRT
2019-05-24,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),173449,CAFSTA@TRANSPRT
2019-05-27,Canada: Airport Passengers Screened: Eight Largest Airports (Number),151470,CA8STA@TRANSPRT
2019-05-27,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),169382,CAFSTA@TRANSPRT
2019-05-28,Canada: Airport Passengers Screened: Eight Largest Airports (Number),140635,CA8STA@TRANSPRT
2019-05-28,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),157235,CAFSTA@TRANSPRT
2019-05-29,Canada: Airport Passengers Screened: Eight Largest Airports (Number),144347,CA8STA@TRANSPRT
2019-05-29,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),161208,CAFSTA@TRANSPRT
2019-05-30,Canada: Airport Passengers Screened: Eight Largest Airports (Number),149430,CA8STA@TRANSPRT
2019-05-30,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),167630,CAFSTA@TRANSPRT
2019-05-31,Canada: Airport Passengers Screened: Eight Largest Airports (Number),158642,CA8STA@TRANSPRT
2019-05-31,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),177539,CAFSTA@TRANSPRT
2019-06-03,Canada: Airport Passengers Screened: Eight Largest Airports (Number),156707,CA8STA@TRANSPRT
2019-06-03,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),174163,CAFSTA@TRANSPRT
